what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1362395632728
started,bundle,org.eclipse.ui.views.log,1.0.100.v20110210_r362,"org.eclipse.ui.views.log",1362395632729
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1362395632729
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1362395632748
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1362395632748
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1362395632749
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1362395632749
started,bundle,org.eclipse.wst.sse.core,1.1.504.v201102160550,"org.eclipse.wst.sse.core",1362395632749
started,bundle,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui",1362395632750
started,bundle,org.eclipse.dltk.core,2.0.1.v20100806-1245,"org.eclipse.dltk.core",1362395632751
started,bundle,org.eclipse.dltk.core.index.sql,2.0.1.v20100909-1720,"org.eclipse.dltk.core.index.sql",1362395632752
started,bundle,org.eclipse.dltk.launching,2.0.0.v20100806-1245,"org.eclipse.dltk.launching",1362395632753
started,bundle,org.eclipse.dltk.ui,2.0.0.v20100909-1720,"org.eclipse.dltk.ui",1362395632754
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201102081640,"org.eclipse.epp.usagedata.gathering",1362395632754
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201102081640,"org.eclipse.epp.usagedata.recording",1362395632755
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1362395632755
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1362395632755
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1362395632755
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1362395632756
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1362395632756
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1362395632757
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1362395632757
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1362395632758
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1362395632758
started,bundle,org.eclipse.php.core,2.2.1.v20101001-2300,"org.eclipse.php.core",1362395632759
started,bundle,org.eclipse.php.debug.core,2.2.0.v20101001-2300,"org.eclipse.php.debug.core",1362395632759
started,bundle,org.eclipse.php.debug.daemon,2.2.0.v20101001-2300,"org.eclipse.php.debug.daemon",1362395632759
started,bundle,org.eclipse.php.debug.ui,2.2.0.v20101001-2300,"org.eclipse.php.debug.ui",1362395632760
started,bundle,org.eclipse.php.server.core,2.2.0.v20101001-2300,"org.eclipse.php.server.core",1362395632760
started,bundle,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui",1362395632762
started,bundle,org.eclipse.wb.discovery.core,1.5.1.r36x201211260914,"org.eclipse.wb.discovery.core",1362395632762
os,sysinfo,,,"macosx",1362395632766
arch,sysinfo,,,"x86",1362395632766
ws,sysinfo,,,"cocoa",1362395632766
locale,sysinfo,,,"nl_NL",1362395632766
processors,sysinfo,,,"2",1362395632766
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1362395632766
java.runtime.version,sysinfo,,,"1.6.0_37-b06-434-11M3909",1362395632766
java.specification.name,sysinfo,,,"Java Platform API Specification",1362395632766
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1362395632766
java.specification.version,sysinfo,,,"1.6",1362395632766
java.vendor,sysinfo,,,"Apple Inc.",1362395632766
java.version,sysinfo,,,"1.6.0_37",1362395632766
java.vm.info,sysinfo,,,"mixed mode",1362395632766
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1362395632766
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1362395632766
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1362395632766
java.vm.specification.version,sysinfo,,,"1.0",1362395632766
java.vm.vendor,sysinfo,,,"Apple Inc.",1362395632766
java.vm.version,sysinfo,,,"20.12-b01-434",1362395632766
started,bundle,org.eclipse.dltk.core.index.sql.h2,2.0.1.v20100909-1720,"org.eclipse.dltk.core.index.sql.h2",1362395632938
started,bundle,org.eclipse.wb.discovery.ui,1.5.1.r36x201211260914,"org.eclipse.wb.discovery.ui",1362395633086
started,bundle,com.android.ide.eclipse.base,21.0.1.v201212060256-543035,"com.android.ide.eclipse.base",1362395633092
started,bundle,com.android.ide.eclipse.adt,21.0.1.v201212060256-543035,"com.android.ide.eclipse.adt",1362395633136
started,bundle,org.eclipse.ltk.core.refactoring,3.5.101.r362_v20101117-0800,"org.eclipse.ltk.core.refactoring",1362395633151
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1362395633156
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362395633253
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362395737101
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362395742325
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362395759072
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362395759187
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1362395759550
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1362395759555
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.201.v20100820_r361,"org.eclipse.pde.api.tools.ui",1362395759699
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20100601,"org.eclipse.pde.ds.ui",1362395759702
stopped,bundle,org.eclipse.pde.runtime,3.4.200.v20100601,"org.eclipse.pde.runtime",1362395759704
stopped,bundle,org.eclipse.pde.ua.ui,1.0.100.v20100504,"org.eclipse.pde.ua.ui",1362395759705
stopped,bundle,org.eclipse.pde.ui.templates,3.4.200.v20100601,"org.eclipse.pde.ui.templates",1362395759707
stopped,bundle,org.eclipse.wb.rcp.databinding.emf,1.5.1.r36x201211261037,"org.eclipse.wb.rcp.databinding.emf",1362395759707
stopped,bundle,org.eclipse.wb.rcp.databinding.xwt,1.5.1.r36x201211261043,"org.eclipse.wb.rcp.databinding.xwt",1362395759708
stopped,bundle,org.eclipse.wb.rcp.databinding,1.5.1.r36x201211261037,"org.eclipse.wb.rcp.databinding",1362395759709
stopped,bundle,org.eclipse.wb.rcp.nebula,1.5.1.r36x201211261037,"org.eclipse.wb.rcp.nebula",1362395759709
stopped,bundle,org.eclipse.wb.rcp.swing2swt,1.5.1.r36x201211261037,"org.eclipse.wb.rcp.swing2swt",1362395759710
stopped,bundle,org.eclipse.wb.xwt,1.5.1.r36x201211261043,"org.eclipse.wb.xwt",1362395759710
stopped,bundle,org.eclipse.wb.rcp,1.5.1.r36x201211261037,"org.eclipse.wb.rcp",1362395759710
stopped,bundle,org.eclipse.pde.ui,3.6.1.v20110210_r362,"org.eclipse.pde.ui",1362395759712
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1362395759717
stopped,bundle,org.eclipse.ant.launching,1.0.1.v20101020_r362,"org.eclipse.ant.launching",1362395759718
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1362395759718
stopped,bundle,overlay.com.android.ide.eclipse.adt.overlay,21.0.1.v201212060256-543035,"overlay.com.android.ide.eclipse.adt.overlay",1362395759719
stopped,bundle,com.android.ide.eclipse.adt,21.0.1.v201212060256-543035,"com.android.ide.eclipse.adt",1362395759719
stopped,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1362395759721
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20100513-0845,"org.eclipse.jdt.apt.ui",1362395759722
stopped,bundle,org.eclipse.wst.xsl.jaxp.debug.ui,1.0.100.v201004290328,"org.eclipse.wst.xsl.jaxp.debug.ui",1362395759722
stopped,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1362395759723
stopped,bundle,org.eclipse.wb.core.databinding.xml,1.5.1.r36x201211260918,"org.eclipse.wb.core.databinding.xml",1362395759724
stopped,bundle,org.eclipse.wb.swing.databinding,1.5.1.r36x201211261029,"org.eclipse.wb.swing.databinding",1362395759724
stopped,bundle,org.eclipse.wb.core.databinding,1.5.1.r36x201211260857,"org.eclipse.wb.core.databinding",1362395759725
stopped,bundle,org.eclipse.wb.swing.FormLayout,1.5.1.r36x201211261029,"org.eclipse.wb.swing.FormLayout",1362395759726
stopped,bundle,org.eclipse.wb.swing.MigLayout,1.5.1.r36x201211261029,"org.eclipse.wb.swing.MigLayout",1362395759726
stopped,bundle,org.eclipse.wb.swing.java6,1.5.1.r36x201211261029,"org.eclipse.wb.swing.java6",1362395759727
stopped,bundle,org.eclipse.wb.swing.jsr296,1.5.1.r36x201211261029,"org.eclipse.wb.swing.jsr296",1362395759727
stopped,bundle,org.eclipse.wb.swing,1.5.1.r36x201211261029,"org.eclipse.wb.swing",1362395759727
stopped,bundle,org.eclipse.wb.core.ui,1.5.1.r36x201211260914,"org.eclipse.wb.core.ui",1362395759727
stopped,bundle,org.eclipse.wb.core.xml,1.5.1.r36x201211260918,"org.eclipse.wb.core.xml",1362395759727
stopped,bundle,org.eclipse.wb.layout.group,1.5.1.r36x201211261000,"org.eclipse.wb.layout.group",1362395759727
stopped,bundle,org.eclipse.wb.swt,1.5.1.r36x201211261022,"org.eclipse.wb.swt",1362395759727
stopped,bundle,org.eclipse.wb.core.java,1.5.1.r36x201211260857,"org.eclipse.wb.core.java",1362395759730
stopped,bundle,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui",1362395759732
stopped,bundle,org.eclipse.php.server.ui,2.2.0.v20101001-2300,"org.eclipse.php.server.ui",1362395759733
stopped,bundle,org.eclipse.php.debug.ui,2.2.0.v20101001-2300,"org.eclipse.php.debug.ui",1362395759733
stopped,bundle,org.eclipse.php.debug.core,2.2.0.v20101001-2300,"org.eclipse.php.debug.core",1362395759733
stopped,bundle,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui",1362395759733
stopped,bundle,org.eclipse.wst.jsdt.web.ui,1.0.304.v201012160349,"org.eclipse.wst.jsdt.web.ui",1362395759735
stopped,bundle,org.eclipse.wst.web.ui,1.1.400.v201004141630,"org.eclipse.wst.web.ui",1362395759736
stopped,bundle,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.ui",1362395759736
stopped,bundle,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.ui",1362395759737
